28,-64,1,0,0,0,0,0,0,0,0,0,14,2,14,2,14,2,15,1,14,1,13,0,13,0,13,0,13,-1,12,-1,14,-2,14,-3,14,-3,15,-2,14,-3,15,-4,13,-3,13,-3,14,-4,14,-4,14,-5,14,-5,13,-4,15,-5,16,-6,15,-7,0,0,16,-7,16,-8,16,-9,16,-8,15,-7,17,-9,17,-9,16,-8,18,-10,16,-9,17,-10,17,-9,18,-10,18,-11,18,-10,19,-11,21,-11,20,-10,20,-10,21,-9,21,-9,22,-8,23,-8,24,-7,23,-5,24,-4,0,0,0,0,0,0,0,0,0,0
-99,-48,9,0,0,0,0,0,0,0,0,0,-1,-18,-1,-18,-1,-18,-3,-20,-3,-17,-3,-17,-3,-16,-4,-15,-4,-16,-4,-14,-6,-16,-8,-16,-7,-15,-7,-16,-7,-15,-9,-15,-8,-15,-7,-13,-9,-14,-9,-14,-10,-14,-11,-14,-9,-12,-12,-13,-14,-14,-14,-14,0,0,-15,-14,-14,-13,-16,-14,-16,-14,-15,-14,-16,-14,-17,-14,-18,-14,-17,-13,-17,-15,-20,-14,-18,-13,-21,-16,-23,-15,-20,-14,-23,-17,-23,-16,-22,-18,-22,-18,-21,-20,-22,-20,-21,-22,-21,-21,-22,-23,-19,-24,-18,-26,0,0,0,0,0,0,0,0,0,0
-121,112,8,0,0,0,0,0,0,0,0,0,-17,6,-16,6,-17,7,-16,8,-15,8,-13,7,-13,7,-12,7,-13,8,-12,8,-12,9,-12,10,-12,10,-12,10,-10,10,-11,12,-9,10,-9,11,-8,11,-8,12,-8,12,-7,13,-8,12,-8,13,-7,16,-6,15,0,0,-6,16,-5,17,-5,17,-4,18,-4,16,-3,18,-3,19,-3,19,-3,21,-2,19,-2,22,-4,20,-3,23,-1,23,-2,23,-1,24,-1,27,-3,26,-3,26,-4,26,-5,27,-6,28,-7,28,-9,29,-11,27,-12,27,0,0,0,0,0,0,0,0,0,0
-122,-31,23,0,0,0,0,0,0,0,0,0,-5,19,-4,18,-3,18,-3,19,-3,18,-2,17,-1,16,-1,15,0,16,1,15,2,17,3,16,4,16,3,16,4,15,6,15,5,15,5,15,6,15,7,15,7,15,8,15,7,14,9,15,11,16,11,15,0,0,12,15,13,15,14,15,15,15,14,14,16,16,16,15,15,15,17,16,17,13,20,15,18,14,20,16,21,16,21,15,22,17,23,18,23,19,22,20,22,21,21,22,21,24,21,23,22,25,19,26,18,27,0,0,0,0,0,0,0,0,0,0
-122,-31,23,0,0,0,0,0,0,0,0,0,-18,-5,-17,-5,-18,-4,-18,-4,-17,-3,-16,-3,-15,-2,-14,-2,-15,-1,-14,-1,-15,0,-15,1,-15,1,-14,2,-13,2,-14,3,-12,3,-12,4,-12,4,-12,4,-12,5,-12,6,-11,5,-12,7,-12,8,-11,8,0,0,-11,9,-10,11,-10,11,-10,12,-10,11,-10,13,-10,14,-9,13,-9,15,-9,15,-8,18,-9,16,-10,18,-9,19,-9,19,-10,21,-11,23,-12,22,-12,22,-14,21,-15,22,-16,22,-17,22,-18,23,-20,20,-21,20,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,23,-4,23,-4,23,-4,22,-6,21,-5,19,-4,18,-4,18,-5,17,-5,16,-6,17,-6,16,-7,15,-7,15,-6,14,-7,14,-8,12,-7,11,-8,11,-8,11,-8,10,-8,9,-9,9,-8,9,-9,9,-11,8,-11,0,0,7,-11,6,-12,6,-12,5,-13,5,-12,4,-15,4,-15,3,-15,3,-17,1,-17,1,-18,1,-17,1,-21,0,-21,1,-21,0,-23,1,-25,3,-24,2,-25,4,-26,6,-27,7,-28,7,-27,9,-29,11,-27,13,-27,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,31,14,31,12,32,12,33,11,31,11,30,10,29,7,30,7,30,6,30,5,31,5,32,3,32,3,31,3,30,2,36,-1,32,-1,30,-1,30,-2,31,-1,31,-4,32,-5,31,-3,36,-3,35,-8,37,-7,0,0,35,-8,36,-9,39,-9,37,-14,35,-8,39,-15,39,-13,38,-12,41,-15,39,-15,42,-15,39,-13,43,-15,45,-17,43,-17,46,-19,48,-19,47,-16,48,-15,50,-13,51,-14,53,-12,54,-9,56,-7,53,-1,54,-1,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,-9,14,-8,13,-8,14,-8,15,-8,14,-7,14,-6,14,-6,13,-5,14,-5,14,-4,15,-3,15,-3,15,-3,16,-3,15,-2,17,-2,15,-2,15,-1,15,-1,15,-1,15,0,17,-1,15,1,17,1,18,1,17,0,0,2,18,4,18,4,18,4,19,3,18,4,19,5,19,4,19,5,20,5,19,8,21,6,20,6,21,7,22,8,21,9,23,9,25,7,24,7,25,4,26,4,26,4,27,4,28,4,29,1,28,0,28,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,13,-12,13,-12,13,-13,12,-14,11,-13,11,-12,10,-12,10,-12,10,-14,10,-14,10,-15,9,-16,9,-15,9,-16,8,-15,8,-18,7,-15,7,-16,7,-16,7,-17,7,-17,6,-18,6,-16,6,-18,6,-19,6,-19,0,0,5,-20,4,-21,3,-21,4,-22,4,-20,4,-22,3,-22,3,-22,3,-24,2,-22,1,-24,3,-22,3,-25,1,-25,1,-25,1,-27,2,-29,4,-27,4,-27,5,-27,6,-28,7,-28,8,-29,8,-29,11,-27,12,-27,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,60,14,57,10,63,11,59,6,59,2,50,0,47,5,43,-5,50,-8,44,-1,61,1,52,-12,50,-11,57,1,51,-4,54,-14,50,-13,56,1,42,-9,43,3,33,-42,44,-21,27,9,51,21,40,-27,51,-28,0,0,46,-30,50,-29,47,-40,59,-35,55,-34,51,-34,57,-25,64,-35,54,-61,68,-41,64,-46,38,-12,70,-49,55,-39,59,-70,53,-57,68,-61,65,-49,60,-50,68,-53,71,-48,73,-48,85,-44,89,-49,83,-27,86,-30,0,0,0,0,0,0,0,0,0,0
