"44,-64,2,0,0,0,0,0,0,0,-2,1,-8,7,-7,7,-7,8,-7,8,-7,8,-7,7,-6,8,-6,8,-6,8,-6,9,-6,10,-6,10,-6,10,-6,10,-6,10,-5,11,-4,10,-4,10,-4,10,-4,11,-4,11,-4,11,-3,11,-3,12,-3,13,-2,13,-1,6,-1,14,-1,15,0,15,0,15,0,15,0,15,1,16,1,16,1,16,1,17,1,17,0,17,0,17,1,18,1,18,1,19,1,20,1,20,1,20,1,20,0,20,-1,21,-2,21,-3,22,-4,21,-5,20,-1,5,0,0,0,0,0,0,0,0"
"44,-64,2,0,0,0,0,0,0,0,-2,-2,-8,-7,-8,-6,-9,-7,-9,-7,-9,-7,-9,-7,-9,-6,-10,-6,-10,-5,-10,-6,-11,-6,-11,-6,-12,-5,-11,-5,-11,-5,-12,-4,-12,-4,-11,-4,-11,-4,-11,-4,-12,-4,-12,-3,-12,-3,-13,-2,-14,-2,-14,-2,-7,-1,-15,0,-16,-1,-16,0,-16,0,-16,0,-16,0,-17,1,-17,1,-17,1,-18,2,-18,1,-18,0,-18,1,-19,1,-19,1,-20,1,-21,1,-21,1,-21,1,-21,1,-21,0,-22,-1,-23,-2,-23,-3,-22,-4,-21,-4,-6,-1,0,0,0,0,0,0,0,0"
"44,-64,2,0,0,0,0,0,0,0,2,0,11,2,11,1,11,0,12,1,12,1,11,1,11,0,11,-1,11,-1,12,-1,13,-2,13,-2,13,-3,12,-2,12,-3,12,-4,12,-4,11,-3,11,-4,11,-5,12,-5,12,-5,12,-6,12,-7,13,-8,13,-8,6,-5,13,-10,14,-10,14,-11,13,-11,13,-10,13,-12,13,-12,13,-13,14,-13,14,-14,14,-13,15,-13,15,-13,15,-14,16,-14,16,-15,17,-16,17,-16,17,-15,17,-15,18,-15,19,-15,20,-14,21,-14,21,-12,21,-12,5,-3,0,0,0,0,0,0,0,0"
"44,-64,2,0,0,0,0,0,0,0,3,-1,12,-4,11,-5,12,-6,13,-7,12,-6,11,-6,11,-7,10,-8,10,-8,11,-8,12,-9,12,-10,11,-10,11,-9,11,-9,10,-11,9,-11,9,-10,9,-11,9,-11,9,-12,9,-13,9,-12,9,-13,9,-15,8,-15,3,-8,7,-17,8,-18,7,-18,7,-18,7,-18,6,-18,6,-19,6,-20,6,-21,6,-21,7,-22,8,-21,8,-21,8,-22,8,-23,8,-24,8,-25,9,-25,8,-25,8,-25,10,-25,11,-25,12,-25,13,-25,14,-23,15,-22,3,-6,0,0,0,0,0,0,0,0"
"44,-64,2,0,0,0,0,0,0,0,-3,-2,-12,-4,-11,-3,-12,-2,-13,-3,-13,-3,-12,-3,-12,-2,-12,-1,-12,-1,-13,-1,-14,-1,-14,0,-14,0,-13,0,-13,0,-13,1,-13,2,-13,2,-13,2,-13,2,-13,2,-14,3,-13,3,-14,4,-15,5,-15,6,-7,3,-15,7,-16,7,-16,8,-16,8,-15,8,-16,8,-16,9,-16,9,-16,10,-17,11,-17,10,-17,9,-17,9,-18,10,-19,11,-20,12,-20,12,-20,12,-20,12,-20,12,-21,11,-21,10,-22,10,-23,9,-23,8,-23,7,-6,1,0,0,0,0,0,0,0,0"
"44,-64,2,0,0,0,0,0,0,0,-2,2,-7,9,-6,9,-6,10,-6,11,-7,10,-6,9,-5,10,-5,10,-5,10,-5,11,-5,12,-4,12,-4,12,-4,12,-4,12,-3,12,-2,12,-2,12,-2,12,-1,12,-1,13,-1,13,-1,12,0,13,1,15,1,15,1,7,3,15,3,16,3,17,4,16,4,16,5,16,6,16,6,17,6,17,6,18,6,18,5,18,5,18,6,19,6,20,7,21,7,21,7,21,7,21,7,21,6,22,6,22,5,23,4,24,2,24,2,23,0,5,0,0,0,0,0,0,0,0"
"44,-64,2,0,0,0,0,0,0,0,-3,1,-9,4,-9,5,-9,6,-10,6,-10,5,-9,5,-9,6,-8,6,-8,6,-8,7,-9,8,-9,8,-8,8,-8,8,-8,8,-7,9,-7,9,-7,8,-7,9,-7,9,-7,10,-7,10,-6,10,-6,11,-6,12,-6,12,-3,6,-4,13,-5,14,-4,15,-4,14,-4,14,-4,15,-3,15,-3,16,-3,16,-3,17,-3,17,-4,17,-4,17,-4,18,-4,18,-4,19,-4,20,-4,20,-4,20,-4,20,-5,20,-6,20,-7,21,-8,21,-9,20,-9,19,-3,4,0,0,0,0,0,0,0,0"
"44,-64,2,0,0,0,0,0,0,0,1,-2,6,-8,5,-9,5,-10,6,-10,5,-9,5,-9,4,-9,4,-10,4,-10,4,-10,4,-11,3,-12,3,-12,3,-11,3,-11,2,-12,2,-12,2,-11,1,-11,1,-12,1,-12,1,-12,1,-12,0,-13,-1,-14,-1,-14,-1,-7,-2,-15,-2,-16,-3,-16,-3,-16,-3,-15,-3,-16,-4,-16,-4,-16,-4,-17,-5,-17,-5,-17,-4,-18,-4,-18,-5,-19,-5,-19,-5,-20,-5,-21,-5,-21,-5,-20,-5,-21,-4,-21,-3,-22,-3,-22,-2,-22,-1,-22,0,-22,0,-6,0,0,0,0,0,0,0,0"
"44,-64,2,0,0,0,0,0,0,0,-2,2,-6,9,-5,9,-5,10,-6,11,-6,11,-5,10,-4,10,-4,10,-4,11,-4,11,-4,12,-3,13,-3,13,-3,12,-3,12,-1,13,-1,12,-1,12,0,12,0,12,0,13,0,13,1,13,2,13,3,14,3,15,2,7,5,15,5,15,6,16,6,15,5,15,6,15,7,15,7,16,8,17,9,17,8,17,7,17,7,18,8,18,9,18,10,19,10,20,10,20,9,20,9,20,9,21,9,22,8,23,7,23,5,23,5,23,1,5,0,0,0,0,0,0,0,0"
"44,-64,2,0,0,0,0,0,0,0,-3,-1,-11,-4,-11,-4,-12,-3,-12,-3,-12,-4,-12,-3,-12,-2,-12,-2,-12,-2,-13,-2,-13,-2,-14,-1,-14,-1,-13,-1,-13,0,-13,1,-13,1,-13,1,-13,2,-13,2,-13,2,-13,3,-13,3,-13,4,-15,5,-15,5,-8,3,-15,7,-15,7,-16,8,-15,8,-15,8,-15,9,-15,10,-15,10,-16,10,-16,10,-17,10,-17,10,-17,10,-18,11,-18,12,-19,13,-19,13,-19,13,-19,12,-19,12,-20,12,-21,11,-22,11,-23,10,-23,9,-23,8,-6,2,0,0,0,0,0,0,0,0"
"44,-64,2,0,0,0,0,0,0,0,-2,2,-5,10,-4,10,-4,11,-5,11,-5,11,-4,10,-3,10,-3,11,-3,11,-3,12,-3,12,-2,13,-2,13,-2,12,-2,12,-1,12,0,12,-1,12,0,12,0,12,0,13,0,13,1,12,2,13,2,14,3,14,2,7,4,14,5,16,5,16,5,16,5,16,5,16,6,16,6,16,7,17,7,17,7,17,6,17,6,18,7,19,7,19,8,20,8,21,7,21,7,20,7,21,6,22,6,22,5,23,4,23,2,23,2,23,0,5,0,0,0,0,0,0,0,0"
