28,-64,1,0,0,0,0,0,0,0,0,0,6,25,6,24,7,26,7,26,6,25,4,22,5,23,4,22,4,23,5,22,7,23,7,23,6,22,5,23,4,21,7,24,5,20,4,20,4,21,5,20,5,21,5,20,2,19,6,21,6,22,4,21,0,0,5,20,5,21,5,20,5,20,4,18,4,19,4,20,3,18,3,18,3,17,5,18,3,16,4,16,5,15,4,15,5,15,6,16,5,15,5,15,4,15,5,15,4,16,4,16,5,17,3,16,3,16,0,0,0,0,0,0,0,0,0,0
-99,-48,9,0,0,0,0,0,0,0,0,0,1,24,0,23,0,25,2,25,0,24,0,21,0,22,0,20,1,22,0,21,1,22,1,23,1,22,0,22,-1,20,2,22,1,19,1,19,0,19,0,19,0,19,2,20,-1,18,0,20,1,21,1,20,0,0,1,20,0,19,1,20,1,20,0,17,0,17,0,17,0,17,-2,19,-1,15,0,15,0,15,-1,15,0,15,1,14,1,15,1,15,1,14,2,14,0,14,1,14,1,14,0,15,0,15,-1,14,-1,14,0,0,0,0,0,0,0,0,0,0
-121,112,8,0,0,0,0,0,0,0,0,0,27,-2,27,-2,27,-3,29,-3,25,-2,24,-1,23,-2,23,-2,24,-2,22,-2,24,-3,25,-4,24,-3,24,-2,23,-2,24,-4,22,-2,20,-2,21,-2,21,-2,21,-2,22,-3,19,-1,21,-2,23,-3,22,-2,0,0,22,-3,21,-3,22,-3,21,-2,19,0,20,-2,20,-2,19,-1,19,-1,17,-2,18,-2,16,-1,17,-1,17,-3,15,-2,17,-3,17,-3,16,-3,15,-3,16,-2,16,-3,16,-2,16,-2,17,-2,16,-1,16,0,0,0,0,0,0,0,0,0,0,0
-122,-31,23,0,0,0,0,0,0,0,0,0,-24,9,-23,9,-23,9,-25,10,-23,9,-21,8,-21,8,-20,7,-21,7,-20,8,-22,9,-22,9,-21,9,-21,8,-20,7,-21,9,-20,7,-18,7,-19,7,-19,7,-18,6,-19,8,-17,5,-19,7,-20,8,-20,7,0,0,-19,7,-20,9,-20,7,-19,6,-18,5,-18,5,-18,7,-17,4,-17,3,-17,6,-18,6,-15,4,-15,5,-14,5,-14,4,-15,6,-15,5,-14,5,-14,5,-14,4,-14,5,-14,4,-13,5,-15,6,-14,4,-14,4,0,0,0,0,0,0,0,0,0,0
-122,-31,23,0,0,0,0,0,0,0,0,0,-15,-24,-15,-23,-16,-24,-17,-24,-15,-23,-13,-22,-14,-22,-12,-21,-14,-21,-12,-20,-14,-22,-15,-22,-14,-21,-12,-21,-12,-20,-15,-22,-12,-20,-11,-18,-12,-19,-12,-19,-12,-19,-13,-19,-10,-18,-11,-20,-13,-20,-12,-20,0,0,-12,-19,-11,-20,-12,-19,-11,-20,-10,-19,-10,-18,-10,-18,-9,-18,-10,-18,-9,-17,-10,-16,-7,-15,-8,-16,-9,-15,-10,-14,-10,-14,-10,-15,-9,-14,-9,-13,-9,-14,-9,-14,-9,-14,-9,-14,-9,-15,-7,-15,-7,-15,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,82,36,81,29,97,33,99,27,90,32,68,33,88,31,67,38,80,33,76,26,89,26,91,31,94,36,78,27,59,32,82,23,75,26,44,22,63,30,70,29,62,32,80,30,44,37,64,25,75,29,85,26,0,0,69,22,70,25,82,19,54,20,46,29,56,25,74,21,53,24,46,19,81,32,85,23,59,28,46,18,62,26,61,22,69,22,78,26,67,32,72,29,57,25,69,27,56,37,58,30,62,30,45,35,48,25,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,-1,21,-1,21,-1,22,-1,23,-1,21,-2,20,-2,20,-2,19,-2,19,-1,18,-1,20,-1,20,-1,19,-2,19,-2,18,0,19,-1,17,-2,16,-2,18,-2,16,-2,17,0,18,-2,15,-1,16,0,19,-1,17,0,0,-1,16,0,16,-1,16,-2,16,-2,15,-2,15,-1,16,-2,14,-2,14,-1,13,0,14,-1,11,-1,12,0,11,0,11,0,11,0,10,0,10,0,10,0,10,1,9,1,10,1,9,1,10,0,9,0,10,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,-76,-53,-71,-55,-83,-52,-99,-54,-79,-54,-69,-62,-82,-58,-59,-59,-75,-62,-66,-51,-95,-56,-92,-52,-90,-57,-70,-48,-53,-46,-81,-47,-66,-43,-36,-32,-43,-43,-62,-43,-49,-49,-73,-44,-30,-49,-61,-42,-69,-49,-78,-46,0,0,-67,-45,-54,-40,-71,-45,-43,-38,-36,-39,-47,-43,-54,-39,-41,-48,-38,-33,-78,-54,-86,-54,-50,-40,-36,-30,-42,-41,-55,-48,-70,-42,-58,-46,-49,-49,-56,-44,-46,-41,-60,-53,-42,-49,-54,-39,-52,-47,-34,-35,-23,-34,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,-49,-62,-42,-61,-63,-62,-59,-66,-52,-60,-43,-44,-59,-57,-48,-55,-56,-49,-53,-47,-70,-53,-81,-50,-76,-50,-63,-52,-47,-48,-82,-44,-63,-38,-50,-38,-54,-38,-62,-45,-56,-40,-79,-31,-45,-53,-63,-49,-85,-46,-84,-50,0,0,-87,-34,-89,-39,-95,-42,-77,-44,-74,-45,-69,-40,-84,-37,-65,-41,-76,-36,-83,-34,-97,-28,-63,-42,-60,-40,-60,-33,-73,-24,-82,-25,-102,-26,-84,-35,-87,-34,-50,-31,-93,-41,-65,-39,-60,-30,-74,-31,-44,-35,-36,-36,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,-28,2,-27,2,-28,2,-28,3,-27,2,-24,1,-25,1,-23,1,-24,2,-23,2,-25,2,-25,3,-25,2,-24,1,-22,1,-25,3,-21,1,-21,2,-21,1,-21,2,-21,2,-21,3,-20,0,-21,1,-22,3,-21,2,0,0,-21,2,-22,2,-21,2,-21,2,-19,1,-20,2,-20,2,-18,1,-20,2,-17,1,-18,2,-17,1,-18,1,-17,2,-16,2,-17,3,-18,3,-16,2,-16,2,-16,1,-16,2,-16,2,-17,1,-17,1,-15,-1,-15,-1,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,13,94,3,89,16,102,25,102,18,90,6,79,14,92,-7,84,7,89,8,85,21,98,25,92,22,99,16,77,-1,70,33,86,14,75,3,48,4,61,7,72,-1,70,18,80,-8,61,16,81,16,80,21,88,0,0,25,72,16,72,26,80,8,58,-1,52,1,62,23,64,6,70,11,47,19,93,33,89,9,69,9,43,10,60,16,73,24,79,27,76,8,67,8,78,12,61,27,85,3,65,9,71,17,66,-13,50,-5,47,0,0,0,0,0,0,0,0,0,0
37,80,2,0,0,0,0,0,0,0,0,0,23,9,23,10,23,10,24,10,21,10,20,9,20,9,19,8,19,8,19,7,21,7,21,7,21,6,20,8,19,8,20,6,18,7,17,7,18,8,17,7,18,6,19,7,16,7,17,6,20,5,18,6,0,0,18,5,18,6,18,6,18,5,16,6,18,5,17,5,17,6,16,5,15,4,18,3,14,4,15,4,16,3,15,3,16,3,17,3,16,4,15,3,16,4,16,4,16,4,16,4,17,5,15,6,16,6,0,0,0,0,0,0,0,0,0,0
37,80,2,0,0,0,0,0,0,0,0,0,-28,3,-28,3,-28,2,-29,3,-27,2,-25,2,-25,2,-24,2,-24,2,-23,2,-25,4,-25,4,-25,4,-24,3,-23,2,-24,3,-23,3,-21,1,-21,3,-22,3,-21,2,-23,2,-19,1,-22,2,-24,5,-22,3,0,0,-22,2,-22,3,-22,2,-21,2,-19,3,-20,3,-21,2,-19,2,-20,3,-19,3,-20,5,-17,3,-19,4,-18,3,-18,5,-19,5,-20,5,-19,4,-19,4,-20,3,-19,4,-20,3,-20,2,-21,2,-20,1,-21,-1,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,0,-23,-1,-23,-1,-23,-2,-24,-2,-22,-2,-21,-3,-21,-2,-19,-4,-20,-3,-20,-5,-21,-6,-22,-6,-22,-5,-21,-5,-20,-7,-22,-5,-20,-5,-20,-7,-21,-6,-20,-7,-20,-8,-21,-6,-19,-7,-22,-10,-23,-9,-22,0,0,-9,-22,-10,-22,-10,-25,-10,-23,-9,-22,-8,-23,-10,-24,-9,-22,-11,-23,-9,-21,-11,-23,-9,-22,-10,-24,-11,-23,-10,-22,-11,-24,-11,-25,-10,-25,-10,-24,-8,-25,-8,-25,-8,-26,-7,-26,-6,-28,-4,-26,-3,-26,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-27,-1,-26,0,-27,-1,-27,1,-25,0,-24,-1,-24,0,-22,-1,-23,0,-22,0,-24,2,-24,2,-23,2,-23,1,-22,1,-24,3,-20,2,-21,2,-21,1,-20,2,-21,1,-22,3,-20,-1,-20,2,-23,3,-21,3,0,0,-21,3,-22,5,-21,5,-22,5,-19,3,-21,4,-21,4,-19,3,-20,3,-18,4,-20,5,-18,4,-19,5,-20,6,-20,6,-21,7,-21,7,-21,6,-20,5,-21,4,-22,4,-22,3,-23,3,-23,4,-23,1,-23,0,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,85,23,84,20,93,20,99,21,82,21,76,20,81,16,65,21,80,15,69,13,92,13,89,7,89,12,78,6,64,13,81,3,75,8,49,16,58,13,64,10,70,14,80,10,54,20,67,5,84,5,82,3,0,0,71,1,71,-4,82,-6,58,-3,56,6,69,0,73,-12,71,8,50,-11,79,-7,81,-14,70,6,56,-6,69,-12,60,1,79,-15,74,-9,72,-5,72,-7,72,-2,78,-5,65,5,76,-11,69,-3,52,9,61,20,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-11,-23,-10,-21,-10,-22,-11,-22,-11,-21,-9,-19,-10,-19,-8,-18,-10,-19,-9,-18,-11,-19,-11,-19,-11,-18,-10,-19,-10,-17,-12,-19,-11,-17,-10,-16,-10,-16,-10,-16,-10,-17,-11,-16,-8,-15,-11,-16,-12,-17,-11,-17,0,0,-11,-16,-12,-16,-12,-16,-12,-16,-10,-15,-11,-15,-12,-15,-10,-15,-12,-16,-10,-14,-12,-14,-11,-13,-12,-14,-12,-13,-12,-13,-13,-13,-14,-14,-13,-14,-13,-14,-12,-15,-12,-15,-12,-16,-13,-16,-12,-17,-10,-17,-9,-17,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,15,-16,14,-17,15,-18,14,-19,13,-17,13,-16,12,-16,11,-16,11,-17,10,-17,11,-19,10,-19,10,-19,10,-19,9,-18,10,-21,9,-18,9,-17,8,-19,8,-19,8,-19,7,-21,8,-18,8,-20,8,-22,8,-21,0,0,7,-22,7,-23,7,-23,7,-23,7,-21,6,-22,6,-23,7,-22,7,-23,6,-21,6,-24,7,-22,7,-23,6,-24,6,-23,6,-24,6,-25,7,-24,7,-24,8,-24,8,-24,9,-24,10,-24,11,-24,13,-22,13,-21,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-37,-77,-44,-71,-45,-86,-52,-86,-39,-82,-31,-70,-45,-81,-37,-67,-44,-75,-36,-70,-53,-73,-63,-72,-57,-79,-40,-68,-29,-60,-57,-70,-43,-66,-24,-54,-27,-58,-37,-59,-38,-58,-44,-66,-22,-63,-33,-58,-51,-63,-49,-68,0,0,-41,-56,-49,-53,-51,-62,-42,-50,-31,-49,-42,-58,-56,-42,-29,-47,-50,-39,-44,-69,-69,-55,-44,-55,-34,-48,-46,-55,-53,-48,-55,-55,-59,-60,-43,-63,-51,-56,-48,-60,-49,-51,-40,-62,-35,-62,-55,-56,-25,-56,-28,-63,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-26,10,-25,10,-25,10,-26,11,-25,10,-23,9,-23,9,-22,9,-23,9,-20,9,-21,10,-22,12,-21,11,-22,10,-21,9,-21,10,-21,10,-20,9,-20,10,-19,10,-20,10,-20,11,-17,7,-19,9,-21,11,-19,11,0,0,-18,11,-20,10,-19,11,-18,10,-17,11,-17,10,-19,12,-17,11,-20,9,-13,11,-15,14,-15,10,-16,9,-15,11,-15,10,-16,12,-17,12,-16,12,-16,13,-17,12,-16,12,-19,11,-18,12,-19,12,-19,8,-19,8,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,8,17,8,17,9,17,10,17,9,17,8,15,8,15,8,14,8,14,8,14,10,15,11,15,11,14,10,14,9,14,12,14,11,12,9,13,10,13,10,13,10,13,11,13,9,12,11,13,13,14,12,14,0,0,12,14,13,13,14,14,13,13,11,12,13,15,13,14,12,13,13,13,12,12,15,13,12,13,13,13,14,13,13,13,15,14,15,15,14,14,14,15,13,16,12,16,12,17,12,17,12,19,10,18,9,19,0,0,0,0,0,0,0,0,0,0
