28,-64,1,0,0,0,0,0,0,0,0,0,24,10,23,10,24,10,26,10,22,10,21,10,21,10,20,10,20,10,20,8,23,8,23,8,23,8,22,9,20,9,23,9,20,9,18,10,20,9,18,10,19,10,20,9,16,8,19,9,20,9,19,8,0,0,18,9,17,8,19,9,19,10,18,9,17,10,19,9,16,9,17,9,15,7,17,7,14,6,15,7,16,7,14,7,16,7,16,7,15,7,14,7,14,7,14,7,14,8,14,7,15,7,13,8,13,8,0,0,0,0,0,0,0,0,0,0
28,-64,1,0,0,0,0,0,0,0,0,0,26,-6,25,-6,25,-7,27,-7,25,-7,24,-5,24,-5,22,-4,23,-6,22,-5,25,-7,24,-7,23,-6,24,-5,23,-4,23,-6,21,-5,20,-4,20,-5,21,-4,21,-5,21,-4,18,-4,20,-3,22,-5,21,-3,0,0,21,-3,21,-5,22,-3,20,-6,18,-3,21,-5,19,-3,17,-2,22,-5,16,-3,17,-3,16,-1,18,-3,17,-3,15,-4,16,-4,17,-5,16,-4,15,-4,15,-2,15,-4,15,-3,15,-3,15,-4,15,-2,15,-2,0,0,0,0,0,0,0,0,0,0
-99,-48,9,0,0,0,0,0,0,0,0,0,7,-18,8,-18,8,-19,8,-20,8,-18,8,-16,7,-17,7,-16,7,-16,7,-16,7,-18,7,-17,7,-17,7,-16,7,-15,6,-18,6,-16,7,-15,7,-15,6,-14,6,-15,6,-15,7,-12,6,-15,7,-15,7,-14,0,0,6,-14,6,-15,6,-15,5,-14,6,-13,7,-13,5,-13,6,-12,5,-13,4,-12,5,-13,5,-11,6,-12,4,-12,4,-11,4,-12,4,-12,4,-11,3,-10,4,-11,4,-10,3,-11,4,-11,4,-12,4,-11,4,-10,0,0,0,0,0,0,0,0,0,0
-121,112,8,0,0,0,0,0,0,0,0,0,-5,-75,-2,-76,-4,-85,-7,-88,-2,-75,3,-76,-4,-77,-7,-68,-4,-74,-3,-76,-9,-79,-9,-84,-12,-80,-5,-68,-2,-63,-6,-75,-2,-65,2,-55,0,-62,-2,-62,-4,-61,-3,-72,0,-54,-1,-64,-9,-77,-5,-74,0,0,-7,-67,-2,-63,-5,-70,-3,-61,1,-57,-1,-57,-4,-65,-1,-58,1,-59,1,-62,-2,-67,-2,-56,-5,-54,-3,-57,-3,-51,-1,-56,-2,-58,-3,-53,-2,-51,1,-51,-5,-47,-1,-49,-2,-50,-3,-51,-3,-49,-2,-43,0,0,0,0,0,0,0,0,0,0
-122,-31,23,0,0,0,0,0,0,0,0,0,-5,-14,-5,-15,-5,-14,-5,-14,-5,-13,-4,-13,-5,-13,-5,-13,-4,-13,-6,-12,-5,-13,-5,-13,-5,-13,-5,-13,-5,-13,-5,-12,-5,-13,-4,-11,-5,-11,-6,-12,-6,-12,-5,-12,-5,-11,-5,-11,-5,-11,-5,-10,0,0,-5,-11,-5,-11,-5,-10,-5,-11,-5,-11,-5,-10,-5,-11,-4,-10,-5,-10,-5,-10,-5,-10,-6,-10,-5,-10,-5,-9,-4,-10,-5,-9,-5,-11,-5,-10,-4,-9,-4,-10,-4,-9,-4,-11,-4,-10,-5,-11,-3,-11,-4,-10,0,0,0,0,0,0,0,0,0,0
-122,-31,23,0,0,0,0,0,0,0,0,0,-26,5,-25,5,-26,5,-27,6,-25,5,-23,4,-24,4,-22,4,-23,4,-22,4,-23,5,-24,5,-23,4,-23,3,-21,3,-23,4,-21,3,-20,2,-21,2,-20,2,-20,2,-21,4,-19,2,-19,3,-22,5,-20,3,0,0,-19,3,-20,3,-19,3,-20,4,-17,2,-19,3,-18,3,-17,1,-18,2,-16,1,-17,2,-15,1,-17,2,-16,3,-15,2,-15,3,-15,3,-14,3,-14,2,-14,2,-14,2,-14,2,-13,3,-14,3,-13,2,-13,2,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,-66,11,-60,9,-69,12,-66,15,-64,11,-58,8,-58,10,-55,7,-60,9,-58,9,-62,10,-60,9,-60,6,-57,5,-50,4,-62,10,-52,7,-52,8,-48,7,-52,7,-47,7,-54,9,-50,3,-50,2,-56,5,-49,6,0,0,-48,4,-47,6,-47,8,-48,6,-45,4,-42,8,-45,3,-42,3,-45,5,-40,2,-45,5,-37,0,-39,2,-37,2,-37,4,-36,4,-38,6,-35,4,-35,5,-34,3,-32,4,-32,5,-34,5,-33,5,-30,2,-32,4,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,-8,-21,-8,-19,-8,-21,-10,-21,-9,-20,-7,-19,-9,-19,-8,-18,-9,-18,-8,-18,-10,-19,-10,-19,-10,-19,-9,-19,-9,-17,-11,-19,-10,-17,-9,-17,-10,-17,-10,-17,-10,-17,-11,-17,-9,-17,-10,-17,-11,-18,-11,-18,0,0,-12,-17,-13,-17,-12,-17,-13,-17,-11,-16,-12,-17,-13,-17,-11,-17,-13,-17,-11,-17,-13,-17,-11,-17,-11,-18,-12,-16,-12,-17,-12,-17,-13,-18,-11,-17,-12,-17,-11,-17,-11,-17,-10,-18,-10,-19,-10,-19,-8,-18,-7,-18,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,58,50,58,45,61,50,64,54,55,46,50,48,53,50,51,41,53,46,49,48,56,48,55,47,53,50,51,46,46,41,58,44,50,43,39,37,44,38,48,44,46,36,47,37,35,40,45,43,46,41,48,46,0,0,45,41,48,41,46,43,44,35,37,40,39,36,42,40,40,38,39,40,38,35,43,40,30,35,33,37,33,38,32,32,32,32,39,34,31,31,33,32,29,33,32,29,30,32,31,28,31,29,22,30,24,28,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,12,-68,13,-68,10,-68,12,-78,13,-67,15,-65,13,-67,11,-63,8,-67,7,-64,4,-73,7,-76,11,-73,9,-71,7,-66,6,-72,10,-64,7,-58,9,-65,8,-62,6,-65,6,-71,10,-53,9,-66,6,-74,10,-70,0,0,3,-76,2,-68,8,-72,9,-64,8,-57,9,-65,3,-65,8,-60,5,-68,8,-58,5,-68,9,-58,7,-61,1,-62,8,-57,3,-64,4,-65,3,-59,6,-57,5,-55,7,-58,7,-60,6,-57,8,-59,10,-54,12,-57,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,-10,-21,-11,-20,-12,-20,-14,-20,-14,-18,-9,-21,-11,-19,-11,-19,-11,-19,-11,-18,-13,-20,-13,-20,-12,-19,-11,-20,-11,-19,-13,-19,-11,-18,-10,-17,-12,-18,-11,-17,-12,-16,-12,-18,-10,-17,-12,-18,-14,-19,-12,-19,0,0,-13,-17,-13,-18,-15,-17,-13,-17,-12,-16,-14,-16,-15,-18,-13,-16,-14,-16,-12,-14,-14,-17,-4,-22,-12,-11,-14,-16,-15,-14,-16,-14,-17,-16,-15,-16,-15,-15,-15,-15,-15,-16,-14,-16,-15,-17,-15,-19,-13,-19,-13,-19,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,76,14,75,12,82,17,88,13,75,17,68,14,77,19,66,14,74,21,74,12,76,12,77,9,78,15,70,11,63,14,78,12,66,12,55,15,59,10,63,14,59,14,62,20,54,14,61,13,69,17,65,14,0,0,63,12,64,6,65,4,58,8,52,9,61,10,62,7,53,6,58,5,61,5,61,8,53,5,53,9,60,1,54,6,57,4,62,5,56,3,56,6,58,5,56,3,59,5,57,6,60,5,56,11,56,14,0,0,0,0,0,0,0,0,0,0
37,80,2,0,0,0,0,0,0,0,0,0,-4,-24,-4,-23,-5,-25,-5,-24,-4,-24,-3,-22,-4,-22,-4,-21,-4,-22,-3,-22,-4,-23,-4,-23,-4,-22,-3,-23,-3,-21,-5,-23,-4,-20,-3,-20,-3,-20,-4,-20,-3,-19,-4,-20,-2,-19,-2,-20,-3,-21,-3,-19,0,0,-4,-19,-4,-19,-4,-18,-5,-19,-3,-17,-4,-18,-4,-18,-4,-17,-4,-17,-4,-16,-6,-17,-4,-16,-5,-17,-6,-16,-6,-16,-7,-16,-7,-17,-6,-16,-6,-15,-5,-17,-6,-16,-6,-18,-5,-18,-5,-18,-4,-18,-3,-18,0,0,0,0,0,0,0,0,0,0
37,80,2,0,0,0,0,0,0,0,0,0,1,25,1,24,1,25,2,26,1,24,1,22,1,23,2,22,2,23,2,21,2,24,3,24,2,24,2,24,2,22,2,24,1,22,1,20,2,21,2,21,2,21,3,21,2,19,1,21,3,22,3,21,0,0,3,21,3,20,3,20,4,21,3,20,5,20,4,20,5,19,3,20,4,18,5,19,4,17,5,20,6,19,5,19,6,20,6,21,5,20,5,20,5,20,5,21,4,22,4,22,3,23,2,22,0,22,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,3,-23,2,-23,2,-23,2,-24,2,-22,2,-21,1,-22,2,-21,1,-21,1,-21,0,-22,0,-23,1,-22,2,-22,1,-21,-2,-23,0,-20,0,-20,0,-20,0,-20,0,-20,-1,-21,0,-19,-1,-20,-2,-22,-1,-21,0,0,-2,-21,-3,-22,-2,-20,-3,-21,-2,-20,-3,-19,-3,-20,-4,-21,-4,-19,-4,-22,-5,-22,-2,-20,-4,-21,-5,-20,-6,-19,-6,-20,-5,-22,-5,-22,-5,-21,-3,-22,-4,-22,-4,-22,-2,-22,-2,-24,0,-23,0,-23,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,10,24,9,23,10,24,11,24,9,23,8,21,9,22,8,20,8,22,9,20,10,22,10,22,9,21,8,22,8,21,9,22,8,19,7,18,7,19,7,19,7,19,8,20,7,17,8,18,8,19,7,18,0,0,9,18,7,18,9,18,10,17,9,15,9,16,9,17,8,16,7,14,9,18,10,16,7,14,9,14,10,13,9,13,11,14,10,15,9,15,9,14,9,15,9,15,9,16,9,16,10,16,8,16,8,17,0,0,0,0,0,0,0,0,0,0
