28,-64,1,0,0,0,0,0,0,0,0,0,15,-2,14,-2,15,-2,15,-5,14,-3,14,-3,13,-3,13,-4,13,-4,12,-4,13,-6,14,-7,12,-6,12,-5,11,-5,13,-7,10,-7,11,-6,11,-8,10,-8,10,-8,11,-10,9,-8,10,-10,10,-12,10,-11,0,0,9,-13,10,-13,9,-15,9,-14,9,-14,11,-15,8,-15,9,-16,13,-15,8,-15,8,-17,9,-15,11,-17,11,-18,11,-17,11,-17,12,-21,12,-18,12,-18,14,-17,13,-19,15,-17,15,-18,16,-18,17,-15,16,-14,0,0,0,0,0,0,0,0,0,0
-99,-48,9,0,0,0,0,0,0,0,0,0,27,0,27,1,26,-1,27,-2,23,0,21,0,21,0,19,-1,19,0,18,0,19,-3,18,-4,17,-4,17,-3,14,-3,15,-4,12,-5,11,-4,11,-5,10,-5,8,-5,8,-6,7,-6,6,-7,5,-10,5,-9,0,0,2,-11,0,-11,0,-12,-1,-12,-1,-13,-2,-15,-4,-16,-4,-15,-6,-17,-6,-15,-9,-18,-6,-18,-8,-21,-9,-22,-9,-22,-11,-24,-10,-26,-7,-26,-9,-27,-7,-29,-7,-30,-6,-30,-6,-31,-6,-33,-3,-32,-2,-32,0,0,0,0,0,0,0,0,0,0
-121,112,8,0,0,0,0,0,0,0,0,0,-23,-7,-22,-6,-23,-6,-23,-4,-21,-5,-18,-5,-19,-4,-17,-4,-18,-3,-17,-3,-17,-1,-18,-1,-16,-1,-15,-1,-13,-1,-14,0,-12,0,-13,1,-12,2,-12,3,-12,3,-10,5,-10,5,-7,7,-9,8,-8,8,0,0,-7,10,-6,12,-5,11,-5,12,-4,12,-5,13,-5,16,-5,16,-4,16,-4,16,-3,20,-5,20,-6,20,-5,22,-4,22,-5,24,-6,27,-9,25,-7,24,-9,26,-10,26,-11,27,-13,27,-13,29,-16,26,-16,25,0,0,0,0,0,0,0,0,0,0
-122,-31,23,0,0,0,0,0,0,0,0,0,2,19,2,17,2,18,3,18,3,17,2,16,3,15,4,15,3,14,4,13,6,14,6,13,7,13,5,15,4,12,7,13,9,12,6,12,8,10,9,7,10,9,9,7,8,11,9,11,11,10,10,7,0,0,14,7,17,8,15,3,15,7,17,5,16,5,18,3,17,6,21,5,18,5,21,5,19,7,21,7,21,7,23,7,22,7,24,9,23,10,23,9,23,12,23,11,24,13,24,15,24,16,21,17,22,17,0,0,0,0,0,0,0,0,0,0
-122,-31,23,0,0,0,0,0,0,0,0,0,4,14,4,14,4,15,5,15,5,14,4,13,4,13,5,12,5,13,6,12,7,13,7,13,7,12,7,12,7,11,8,12,7,11,7,11,8,11,7,11,9,10,9,10,8,10,10,10,12,11,11,10,0,0,12,11,12,10,14,11,13,10,12,10,14,11,14,11,13,11,15,12,14,10,16,10,14,11,16,13,17,11,15,12,17,13,17,13,16,14,15,14,14,15,15,15,15,17,14,16,14,17,12,18,12,18,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,27,-6,27,-1,25,-6,24,-5,22,-2,19,-3,22,-5,18,-4,19,-4,16,-5,18,-6,17,-3,18,-4,12,-7,13,-2,14,-9,10,-3,9,-3,8,-5,7,-6,9,-6,4,-8,7,-8,5,-10,3,-9,2,-10,0,0,0,-8,1,-10,-1,-13,-4,-13,-1,-9,-5,-12,-5,-11,-4,-13,-6,-14,-8,-14,-9,-15,-10,-16,-10,-18,-10,-19,-11,-19,-12,-21,-13,-23,-12,-22,-12,-22,-10,-24,-11,-25,-10,-27,-10,-28,-11,-30,-8,-29,-7,-30,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,-13,0,-13,0,-13,0,-14,-1,-13,0,-13,0,-13,0,-12,0,-13,0,-12,1,-12,2,-13,2,-12,2,-12,2,-12,1,-12,2,-11,2,-11,3,-11,3,-11,3,-11,3,-11,4,-11,3,-11,5,-12,5,-11,6,0,0,-11,6,-12,5,-12,6,-11,7,-12,7,-12,7,-13,6,-12,7,-13,8,-11,7,-13,7,-12,7,-13,7,-14,8,-13,7,-15,8,-15,7,-15,7,-15,6,-15,6,-16,6,-16,4,-16,4,-17,4,-17,3,-17,3,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,-22,-4,-20,-4,-22,-3,-21,-1,-20,-3,-17,-3,-18,-3,-16,-3,-17,-2,-15,-2,-15,-1,-16,0,-14,0,-14,-1,-12,1,-13,3,-11,2,-10,2,-10,3,-9,4,-9,5,-8,6,-8,6,-7,7,-7,8,-6,8,0,0,-5,10,-4,12,-4,12,-4,13,-3,13,-3,15,-2,17,-3,16,-2,18,-2,18,-1,20,-3,18,-2,21,-2,21,-1,22,-2,23,-3,27,-4,24,-3,25,-5,25,-6,25,-7,25,-9,27,-9,26,-11,25,-12,24,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,-6,-22,-5,-21,-6,-21,-7,-20,-6,-19,-4,-18,-6,-17,-5,-15,-7,-15,-6,-15,-8,-14,-7,-13,-7,-12,-6,-11,-6,-11,-9,-9,-6,-7,-7,-8,-7,-7,-5,-5,-7,-6,-9,-3,-8,-5,-7,1,-9,-1,-9,-1,0,0,-11,1,-11,4,-12,6,-12,6,-12,6,-13,7,-14,9,-14,9,-15,9,-15,10,-16,11,-16,10,-17,12,-17,12,-19,13,-21,14,-21,15,-21,13,-21,15,-23,13,-22,14,-24,13,-26,13,-27,12,-27,10,-27,9,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,-16,10,-16,9,-16,10,-15,11,-15,10,-14,9,-12,9,-12,9,-12,9,-11,9,-11,11,-11,11,-11,11,-11,11,-10,10,-9,12,-8,11,-8,10,-7,11,-7,10,-7,12,-6,13,-6,11,-5,13,-5,15,-5,15,0,0,-4,16,-3,17,-3,17,-3,18,-3,16,-3,18,-3,20,-3,20,-3,22,-2,20,-2,22,-3,20,-4,23,-2,23,-4,22,-4,24,-4,25,-6,23,-5,24,-7,24,-8,24,-8,25,-9,24,-10,25,-11,23,-12,23,0,0,0,0,0,0,0,0,0,0
